范湖,#genre#                                                                                                       
CCTV-17,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227726/index.m3u8

央视备用1,#genre#
CCTV01-综合频道,http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?xtkg#http://42.81.144.99/live.cache.cmvideo.cn/migu/kailu/cctv1hd265/57/20191230/index.m3u8?&encrypt=1#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8#http://39.135.32.29:6610/000000001000/1000000001000021973/1.m3u8?#http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV02-财经频道, http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227696/index.m3u8

CCTV03-综艺频道,http://39.135.34.150:8080/000000001000/1000000001000011218/1.m3u8?xtkg#http://39.135.32.29:6610/000000001000/1000000001000011218/1.m3u8?#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV04-中文国际,http://39.135.34.150:8080/000000001000/1000000002000031664/1.m3u8?xtkg#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8#http://39.135.32.29:6610/000000001000/1000000002000031664/1.m3u8?
CCTV05-体育频道,http://39.135.34.150:8080/000000001000/1000000001000004794/1.m3u8?xtkg#http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8#http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV06-电影频道,http://39.135.34.150:8080/000000001000/1000000001000016466/1.m3u8?xtkg#http://42.81.144.99/live.cache.cmvideo.cn/migu/kailu/cctv6hd265/55/20200407/index.m3u8?&encrypt=1#http://39.135.32.29:6610/000000001000/1000000001000016466/1.m3u8?
CCTV07-军事频道,http://39.135.32.29:6610/000000001000/1000000001000017218/1.m3u8?#http://183.207.248.71/cntv/live1/cctv-7/cctv-7#http://42.81.144.99/live.cache.cmvideo.cn/migu/kailu/20200324/cctv7hd/51/index.m3u8?&encrypt=1#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV08-电视剧台,http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv8hd/4000000/mnf.m3u8#http://42.81.144.99/live.cache.cmvideo.cn/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?&encrypt=1#http://39.135.34.150:8080/000000001000/1000000001000003736/1.m3u8?xtkg
CCTV09-记录频道,http://39.135.135.30/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://39.135.34.150:8080/000000001000/1000000001000014583/1.m3u8?xtkg#http://42.81.144.99/live.cache.cmvideo.cn/migu/kailu/20200324/cctv9hd/51/index.m3u8?&encrypt=1#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225820/1.m3u8
CCTV10-科教频道,http://42.81.144.99/live.cache.cmvideo.cn/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?&encrypt=1#http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv10hd/4000000/mnf.m3u8#http://39.135.34.150:8080/000000001000/7019587760656900133/1.m3u8?xtkg
CCTV11-戏曲频道,http://39.134.65.162/PLTV/88888888/224/3221225517/index.m3u8#http://39.135.34.150:8080/000000001000/1000000002000019789/1.m3u8?xtkg#http://42.81.144.99/live.cache.cmvideo.cn/migu/kailu/cctv11hd/57/20200103/index.m3u8?&encrypt=1
CCTV12-社会与法,http://42.81.144.99/live.cache.cmvideo.cn/migu/kailu/20200324/cctv12hd/51/index.m3u8?&encrypt=1
CCTV13-新闻频道,http://39.135.34.150:8080/000000001000/1000000002000021303/1.m3u8?xtkg#http://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/1.m3u8#http://117.169.120.160:8080/live/cctv-13/1.m3u8 
CCTV14-少儿频道,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8#http://42.81.144.99/live.cache.cmvideo.cn/migu/kailu/cctv14hd265/55/20200407/index.m3u8?&encrypt=1
CCTV15-音乐频道,rtsp://183.252.176.54:554/PLTV/88888888/224/3221225998/10000100000000060000000002296745_0.smil#http://42.81.144.99/live.cache.cmvideo.cn/migu/kailu/20200324/cctv15hd/51/index.m3u8?&&encrypt=1#http://39.135.34.150:8080/000000001000/1000000002000008163/1.m3u8?xtkg#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+-体育赛事,http://42.81.144.99/live.cache.cmvideo.cn/wd_r2/cctv/cctv5plusnew/2500/index.m3u8?&encrypt=1
CCTV17-农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8#http://dbiptv.sn.chinamobile.

中央频道,#genre#                       
全球新闻台,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
资讯,http://183.207.249.144/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8



法制新闻,http://39.134.39.38/PLTV/88888888/224/3221226258/index.m3u8
电影,http://39.134.155.141/PLTV/88888888/224/3221225656/index.m3u8

电影1,http://39.134.134.85:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226552/1.m3u8
CHC家庭影院,http://39.134.18.66/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8

CHC高清电影,http://39.134.18.66/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8

CHC动作电影,http://39.134.18.66/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
超高清电影,http://60.255.49.202/live/emdy4k_8000.m3u8

 
 
kk金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
邵氏老电影,https://cn-jxnc-cmcc-live-02.bilivideo.com/live-bvc/817178/live_97065163_17925468.m3u8
黑莓电影 4M1080,http://39.134.66.66/PLTV/88888888/224/3221225681/index.m3u8
 
CHC 高清电影 HD,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
 
 
CCTV新闻,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226316/1.m3u8
CCTV-1HD,http://39.134.39.37/PLTV/88888888/224/3221225729/index.m3u8


CCTV-1HD,http://39.134.66.66/PLTV/88888888/224/3221225732/index.m3u8

CCTV13新闻,http://39.135.34.150:8080/000000001000/1000000002000021303/1.m3u8?I
CCTV1 ,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226226/1.m3u8
CCTV1 ,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226346/1.m3u8
CCTV1 ,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226431/1.m3u8







 






CCTV2 4M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226230/1.m3u8
CCTV2 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226371/1.m3u8
CCTV2 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/22http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226485/1.m3u8
4/3221226472/1.m3u8





CCTV2FHD,http://39.134.39.39/PLTV/88888888/224/3221226220/index.m3u8










CCTV3FHD,http://39.135.138.58:18890/PLTV/88888910/224/3221225647/index.m3u8

CCTV3FHD,http://117.169.119.199:8080/live/cctv-3/index.m3u8

CCTV3FHD,http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221225588/index.m3u8
CCTV3FHD,http://118.123.60.13:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=000&Provider_id=&Pcontent_id=index.m3u8
CCTV3FHD,http://39.134.39.39/PLTV/88888888/224/3221226251/index.m3u8









 CCTV4 4M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226335/1.m3u8
CCTV4 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226470/1.m3u8


CCTV4FHD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226470/1.m3u8


CCTV4FHD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226335/1.m3u8








 CCTV-5体育,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226469/1.m3u8

CCTV5 超清,http://124.232.231.246:6610/000000001001/201500000125/index.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
CCTV5+ 超清,http://124.232.231.246:6610/000000001001/201500000062/index.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2





CCTV5+HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8


CCTV6FHD,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV6FHD,http://39.134.116.30:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6FHD,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6FHD,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV6FHD,http://liveplay-kk.rtxapp.com/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV6FHD,http://39.134.66.66/PLTV/88888888/224/3221225488/index.m3u8
CCTV6FHD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/index.m3u8
CCTV6FHD,http://39.135.135.67:80/wh7f454c46tw1817117021_1764723209/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/index.m3u8?icpid=88888888&RTS=1554599589&from=1&hms_devid=671
CCTV6FHD,http://117.169.119.199:8080/live/cctv-6/index.m3u8
CCTV6FHD,http://39.134.39.39/PLTV/88888888/224/3221226148/index.m3u8
CCTV6FHD,http://39.135.139.199:6610/PLTV/88888888/224/3221225632/2/index.m3u8?fmt=ts2hls












CCTV7FHD,http://39.134.39.37/PLTV/88888888/224/3221226255/index.m3u8
CCTV7FHD,http://39.134.116.30:8080/PLTV/88888910/224/3221225644/index.m3u8






CCTV7FHD,http://39.130.206.220:6610/gitv_live/G_CCTV-7-HD/G_CCTV-7-HD.m3u8?IASHttpSessionId=SLB154620200901114214062271
CCTV7FHD,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV7FHD,http://39.134.134.58:80/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8?icpid=88888888&from=6&popid=6&hms_devid=3443&prioritypopid=6&vqe=3
CCTV7FHD,http://39.134.157.205/PLTV/88888888/224/3221225596/index.m3u8
CCTV7FHD,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV7FHD,http://120.221.5.113:8089/PLTV/88888888/224/3221225753/index.m3u8
CCTV7FHD,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV7FHD,http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8


CCTV7FHD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8


CCTV7FHD,http://117.169.119.199:8080/live/cctv-7/index.m3u8
中央电视台8,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226485/1.m3u8

CCTV-8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV9FHD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV9FHD,http://112.50.243.8/PLTV/88888888/224/3221225820/1.m3u8
CCTV9FHD,http://117.148.187.37/PLTV/88888888/224/3221226156/index.m3u8
CCTV9FHD,http://112.17.40.145/PLTV/88888888/224/3221226156/index.m3u8
CCTV9FHD,http://112.50.243.8/PLTV/88888888/224/3221225929/1.m3u8
CCTV9FHD,http://117.169.119.199:8080/live/cctv-news/index.m3u8
CCTV9FHD,http://39.135.139.199:6610/PLTV/88888888/224/3221225646/2/index.m3u8?fmt=ts2hls
CCTV9FHD,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV9FHD,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9FHD,http://39.134.39.37/PLTV/88888888/224/3221226259/index.m3u8


CCTV9HD,http://39.134.66.66/PLTV/88888888/224/3221225519/index.m3u8
CCTV9HD,http://39.134.65.66:80/wh7f454c46tw1783826508_940850315/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225595/index.m3u8?icpid=88888888&RTS=1554599556&from=1&hms_devid=126

CCTV10FHD,http://117.169.119.199:8080/live/cctv-10/index.m3u8
CCTV10FHD,http://39.134.39.37/PLTV/88888888/224/3221226228/index.m3u8
C

CCTV10FHD,http://117.169.119.199:8080/live/HD-8000k-1080P-cctv10/index.m3u8
CCTV10FHD,http://39.134.39.39/PLTV/88888888/224/3221226164/index.m3u8
CCTV10FHD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10FHD,http://117.148.187.37/PLTV/88888888/224/3221226199/index.m3u8
CCTV10FHD,http://39.135.138.58:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV10FHD,http://39.135.138.60:18890/PLTV/88888910/224/3221225636/index.m3u8
CCTV10FHD,http://180.97.74.131/cache.ott.ystenlive.itv.cmvideo.cn/000000001000/1000000001000023734/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=1000000001000023734&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000023734&owchid=ystenlive&owsid=8816221588475006187&AuthInfo=DBUICDpaEDC3E4Yk9rB5JhE2OEcgHj4j4Lu3NMN0BqOuzX95w2feBSSObbZ8fTDTLASsvZ5gf3z91KFnTbNhfQwVdPIa4IF5jh9Zf+puw9IYLWmpb99Bu0b0ZmafajWq
CCTV10FHD,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV10FHD,http://39.134.39.37/PLTV/88888888/224/3221226164/index.m3u8
CCTV10FHD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225814/1.m3u8
CCTV10FHD,http://39.135.135.79:80/wh7f454c46tw1853683378_-322509916/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8?icpid=88888888&RTS=1554599626&from=1&hms_devid=703
CCTV10FHD,http://39.135.139.199:6610/PLTV/88888888/224/3221225496/2/index.m3u8?fmt=ts2hls
CCTV10FHD,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8




CCTV11FHD,http://39.134.116.30:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV11FHD,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV11FHD,http://39.134.39.39/PLTV/88888888/224/3221226261/index.m3u8


CCTV11FHD,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8


CCTV12FHD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12FHD,http://117.169.119.199:8080/live/cctv-12/index.m3u8
CCTV12FHD,http://39.135.135.70:80/wh7f454c46tw1829513060_732052264/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8?icpid=88888888&RTS=1554599602&from=1&hms_devid=686
CCTV12FHD,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV12FHD,http://112.50.243.8/PLTV/88888888/224/3221225932/1.m3u8
CCTV12FHD,http://117.169.119.199:8080/live/HD-8000k-1080P-cctv12/index.m3u8






CCTV13-新闻,http://39.135.34.150:8080/000000001000/1000000002000021303/1.m3u8?I
CCTV13-新闻,http://111.12.102.68:6610/PLTV/77777777/224/3221225742/index.m3u8?







CCTV14FHD,http://39.135.138.58:18890/PLTV/88888910/224/3221225640/index.m3u8
CCTV14FHD,http://39.134.39.39/PLTV/88888888/224/3221226166/index.m3u8
CCTV14FHD,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8


CCTV14FHD,http://39.134.39.39/PLTV/88888888/224/3221226232/index.m3u8
CCTV14FHD,http://112.50.243.8/PLTV/88888888/224/3221225933/1.m3u8
CCTV14FHD,http://101.71.255.229:6610/zjhs/2/10087/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV14FHD,http://117.148.187.83/PLTV/88888888/224/3221226126/index.m3u8
CCTV14FHD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14FHD,http://117.169.119.199:8080/live/cctv-14/index.m3u8
CCTV14FHD,http://39.135.135.36:80/wh7f454c46tw1774882669_697216759/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8?icpid=88888888&RTS=1554599547&from=1&hms_devid=683
CCTV14FHD,http://117.169.119.199:8080/live/HD-8000k-1080P-cctv14/index.m3u8
CCTV14FHD,http://39.135.139.199:6610/PLTV/88888888/224/3221225494/2/index.m3u8?fmt=ts2hls
CCTV14FHD,http://112.50.243.8/PLTV/88888888/224/3221225819/1.m3u8













CCTV15FHD,http://39.134.39.39/PLTV/88888888/224/3221226234/index.m3u8


CCTV17FHD,http://39.134.116.30:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV17FHD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV17FHD,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV17FHD,http://39.135.138.58:18890/PLTV/88888910/224/3221225908/index.m3u8
CCTV17FHD,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8


CCTV17FHD,http://117.169.119.199:8080/live/HD-4000k-1080P-cctv17/index.m3u8
湖北频道,#genre# 
 
上海新闻综合,http://183.207.255.188/live/program/live/xwzhhd/4000000/mnf.m3u8
求索1,http://39.134.65.162/PLTV/88888888/224/3221225713/index.m3u8
求索2,http://39.134.65.162/PLTV/88888888/224/3221225715/index.m3u8
求索3,http://39.134.65.162/PLTV/88888888/224/3221225728/index.m3u8
CHC动作电影,http://111.20.45.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC家庭影院,http://39.134.18.65/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC高清电影,http://39.134.18.66/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8



 卫视频道,#genre#




广东卫视,http://39.135.34.150:8080/000000001000/1000000001000028357/1.m3u8?I



深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8



湖南卫视,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225778/1/index.m3u8?fmt=ts2hls



江苏卫视,http://39.134.39.39/PLTV/88888888/224/3221226157/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225514/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225512/index.m3u8#http://111.12.102.68:6610/PLTV/77777777/224/3221225636/index.m3u8?


江西卫视,http://117.169.124.36:6410/ysten-businessmobile/live/jiangxistv/1.m3u8
江西卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/jxwshd/4000000/mnf.m3u8
湖南卫视,http://117.169.124.36:6610/ysten-businessmobile/live/hunanstv/1.m3u8
湖南卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/hnwshd/2300000/mnf.m3u8
浙江卫视,http://117.169.124.36:6410/ysten-businessmobile/live/zhejiangstv/1.m3u8
浙江卫视,http://yd-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
广东卫视,http://117.169.124.36:6410/ysten-businessmobile/live/guangdongstv/1.m3u8
广东卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/gdwshd/4000000/mnf.m3u8
深圳卫视,http://117.169.124.36:6410/ysten-businessmobile/live/shenzhenstv/1.m3u8
深圳卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/szwshd/4000000/mnf.m3u8
上海卫视,http://117.169.124.36:6610/ysten-businessmobile/live/dongfangstv/1.m3u8
上海卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/hddfws/4000000/mnf.m3u8
江苏卫视,http://117.169.124.36:6410/ysten-businessmobile/live/jiangsustv/1.m3u8
江苏卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/jswshd/4000000/mnf.m3u8
安徽卫视,http://117.169.124.36:6410/ysten-businessmobile/live/anhuistv/1.m3u8
安徽卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/ahwshd/4000000/mnf.m3u8
北京卫视,http://117.169.124.36:6410/ysten-businessmobile/live/beijingstv/1.m3u8
北京卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/bjwshd/4000000/mnf.m3u8
天津卫视,http://117.169.124.36:6410/ysten-businessmobile/live/tianjinstv/1.m3u8
天津卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/tjwshd/4000000/mnf.m3u8
四川卫视,http://scgctvshow.sctv.com/scgc/sctv1deu5453w/1.m3u8
重庆卫视,http://117.169.124.36:6410/ysten-businessmobile/live/chongqingstv/1.m3u8
福建卫视,http://117.169.124.36:6410/ysten-businessmobile/live/dongnanstv/1.m3u8
福建卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/dnwshd/4000000/mnf.m3u8
海峡卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
山东卫视,http://117.169.124.36:6410/ysten-businessmobile/live/shandongstv/1.m3u8
山东卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/sdwshd/4000000/mnf.m3u8
贵州卫视,http://117.169.124.36:6410/ysten-businessmobile/live/guizhoustv/1.m3u8
湖北卫视,http://117.169.124.36:6410/ysten-businessmobile/live/hubeistv/1.m3u8
湖北卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/hbwshd/4000000/mnf.m3u8
辽宁卫视,http://117.169.124.36:6410/ysten-businessmobile/live/liaoningstv/1.m3u8
辽宁卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/lnwshd/4000000/mnf.m3u8
河南卫视,http://117.169.124.36:6410/ysten-businessmobile/live/henanstv/1.m3u8
河北卫视,http://117.136.154.85/PLTV/88888888/224/3221225844/index.m3u8
黑龙江卫视,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/hljwshd/4000000/mnf.m3u8
吉林卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226792/48616745.smil
海南卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226048/10000100000000060000000002296889_0.smil
广西卫视,http://117.169.124.36:6410/ysten-businessmobile/live/guangxistv/1.m3u8
云南卫视,http://117.169.124.36:6410/ysten-businessmobile/live/yunnanstv/1.m3u8
陕西卫视,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227022/index.m3u8
甘肃卫视,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8
山西卫视,http://117.169.124.36:6410/ysten-businessmobile/live/shanxistv/1.m3u8
宁夏卫视,http://117.169.124.36:6410/ysten-businessmobile/live/ningxiastv/1.m3u8
内蒙古卫视,http://live.m2oplus.nmtv.cn/1/sd/live.m3u8
新疆卫视,http://117.169.124.36:6410/ysten-businessmobile/live/xinjiangstv/1.m3u8
西藏卫视,http://117.169.124.36:6410/ysten-businessmobile/live/xizangstv/1.m3u8
兵团卫视,http://223.110.246.66/ott.js.chinamobile.com/PLTV/4/224/3221227025/index.m3u8     
电影1频道,#genre#
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://111.20.105.60:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
