凤凰资讯频道,#genre#
湖南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229983/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000174#http://111.48.34.138/000000001000PLTV/88888888/224/3221229739/1.m3u8
湖南卫视4k,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000541
浙江卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230460/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000195#http://111.48.34.138/000000001000PLTV/88888888/224/3221229788/1.m3u8
江苏卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230497/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000177#http://111.48.34.138/000000001000PLTV/88888888/224/3221229743/1.m3u8
东方卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230448/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000198#http://111.48.34.138/000000001000PLTV/88888888/224/3221229808/1.m3u8
北京卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230501/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000173#http://111.48.34.138/000000001000PLTV/88888888/224/3221229741/1.m3u8
北京卫视4k,rtsp://111.48.34.138:1554/170000004112/HBGD1099046553413197824376375621
广东卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230503/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000197
广东卫视4K,http://111.48.34.138/000000001000PLTV/88888888/224/3221230606/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230606/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000432
深圳卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230454/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000176#http://111.48.34.138/000000001000PLTV/88888888/224/3221229712/1.m3u8
黑龙江卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230462/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000175#http://111.48.34.138/000000001000PLTV/88888888/224/3221229816/1.m3u8
天津卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230458/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000323#http://111.48.34.138/000000001000PLTV/88888888/224/3221229786/1.m3u8
山东卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230456/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000324#http://111.48.34.138/000000001000PLTV/88888888/224/3221229827/1.m3u8
山东卫视4K,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000432
安徽卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230505/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000325#http://111.48.34.138/000000001000PLTV/88888888/224/3221229778/1.m3u8
辽宁卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230464/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000326#http://111.48.34.138/000000001000PLTV/88888888/224/3221229825/1.m3u8
东南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230507/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000346#http://111.48.34.138/000000001000PLTV/88888888/224/3221229810/1.m3u8
江西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230519/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000396#http://111.48.34.138/000000001000PLTV/88888888/224/3221229752/1.m3u8
重庆卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230139/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000418#http://111.48.34.138/000000001000PLTV/88888888/224/3221229756/1.m3u8
贵州卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230138/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000419#http://111.48.34.138/000000001000PLTV/88888888/224/3221229758/1.m3u8
广西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230328/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000515
海南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230141/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000442#http://111.48.34.138/000000001000PLTV/88888888/224/3221229794/1.m3u8
河南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230511/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000463#http://111.48.34.138/000000001000PLTV/88888888/224/3221229870/1.m3u8
四川卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230140/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000464#http://111.48.34.138/000000001000PLTV/88888888/224/3221229901/1.m3u8
吉林卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230361/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000528
甘肃卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230521/1.m3u8#rtsp://111.48.34.138:1554/170000004112/HBGD8790008720259235848417405421#http://111.48.34.138/000000001000PLTV/88888888/224/3221230502/1.m3u8
河北卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230143/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000447#http://111.48.34.138/000000001000PLTV/88888888/224/3221229840/1.m3u8
陕西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230525/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000068#http://111.48.34.138/000000001000PLTV/88888888/224/3221229735/1.m3u8
山西卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230038/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000077#http://111.48.34.138/000000001000PLTV/88888888/224/3221229721/1.m3u8
云南卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230637/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230365/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000038#http://111.48.34.138/000000001000PLTV/88888888/224/3221229723/1.m3u8
西藏卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230624/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221229727/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230103/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000078
内蒙古卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230039/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000148#http://111.48.34.138/000000001000PLTV/88888888/224/3221229704/1.m3u8
新疆卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230659/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221229729/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230030/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000075
青海卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230101/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000074#http://111.48.34.138/000000001000PLTV/88888888/224/3221229731/1.m3u8
宁夏卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230036/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000060#http://111.48.34.138/000000001000PLTV/88888888/224/3221229688/1.m3u8
三沙卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230410/1.m3u8#rtsp://111.48.34.138:1554/170000004112/00000001000000050000000000000589
兵团卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230032/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230661/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000516
山东教育卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230459/1.m3u8#rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000553
厦门卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230527/1.m3u8#rtsp://111.48.34.138:1554/170000004112/HBGD8213740706910740489902289856#http://111.48.34.138/000000001000PLTV/88888888/224/3221230498/1.m3u8
延边卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230557/1.m3u8#rtsp://111.48.34.138:1554/170000004112/HBGD8790062031491768322269017598
康巴卫视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230555/1.m3u8#rtsp://111.48.34.138:1554/170000004112/HBGD8790066950704414726368066759

电信网央视频道,#genre#
CCTV1,http://39.165.39.49:19901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://39.165.39.49:19901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://39.165.39.49:19901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://39.165.39.49:19901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://39.165.39.49:19901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://39.165.39.49:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://39.165.39.49:19901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://39.165.39.49:19901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://39.165.39.49:19901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://39.165.39.49:19901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://39.165.39.49:19901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://39.165.39.49:19901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://39.165.39.49:19901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://39.165.39.49:19901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://39.165.39.49:19901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV17,http://39.165.39.49:19901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://39.165.39.49:19901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=0&authid=0
中国教育,http://39.165.39.49:19901/tsfile/live/1090_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://39.165.39.49:19901/tsfile/live/1105_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://39.165.39.49:19901/tsfile/live/1127_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://39.165.39.49:19901/tsfile/live/1128_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://39.165.39.49:19901/tsfile/live/1129_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://39.165.39.49:19901/tsfile/live/1130_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://39.165.39.49:19901/tsfile/live/1131_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://39.165.39.49:19901/tsfile/live/1133_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://39.165.39.49:19901/tsfile/live/1134_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://39.165.39.49:19901/tsfile/live/1140_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://39.165.39.49:19901/tsfile/live/1141_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://39.165.39.49:19901/tsfile/live/1143_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://39.165.39.49:19901/tsfile/live/1149_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://39.165.39.49:19901/tsfile/live/1156_1.m3u8?key=txiptv&playlive=0&authid=0
嘉佳卡通,http://39.165.39.49:19901/tsfile/live/1157_1.m3u8?key=txiptv&playlive=0&authid=0
卡酷动画,http://39.165.39.49:19901/tsfile/live/1158_1.m3u8?key=txiptv&playlive=0&authid=0
炫动卡通,http://39.165.39.49:19901/tsfile/live/1159_1.m3u8?key=txiptv&playlive=0&authid=0
优漫卡通,http://39.165.39.49:19901/tsfile/live/1092_1.m3u8?key=txiptv&playlive=0&authid=0

央视卫视88,#genre#

CCTV1,http://go.bkpcp.top/mg/cctv1 
CCTV2,http://go.bkpcp.top/mg/cctv2 
CCTV3,http://go.bkpcp.top/mg/cctv3 
CCTV4,http://go.bkpcp.top/mg/cctv4 
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p 
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7 
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10 
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12 
CCTV13,http://go.bkpcp.top/mg/cctv13 
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17 
cct4欧洲,http://go.bkpcp.top/mg/cctv4o
cct4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN-西,http://go.bkpcp.top/mg/cgtne 
CGTN-阿,http://go.bkpcp.top/mg/cgtna 
CGTN-法,http://go.bkpcp.top/mg/cgtnf 
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws 
江苏卫视,http://go.bkpcp.top/mg/jsws 
湖南卫视,http://go.bkpcp.top/mg/hunws 
广东卫视,http://go.bkpcp.top/mg/gdws 
深圳卫视4k,http://go.bkpcp.top/mg/szws 
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws 
湖北卫视,http://go.bkpcp.top/mg/hubws 
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws 
兵团卫视,http://go.bkpcp.top/mg/btws 
黑龙江视,http://go.bkpcp.top/mg/hljws 
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
4K超高清,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.249:8001
淘电影,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.250:8001
淘剧场,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.95:8001
淘娱乐,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.100:8001
淘Baby,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.238:8001




湖北频道,#genre#
湖北经视,http://111.48.34.138/000000001000PLTV/88888888/224/3221229804/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230388/1.m3u8#rtsp://111.48.34.138:1554/170000004112/10000100000000050000000002444588

-1#-1#null#null#starttime={start|yyyyMMdd'T'HHmmss'.00Z'|Asia/Shanghai}&endtime={end|yyyyMMdd'T'HHmmss'.00Z'|Asia/Shanghai}#null#0#-1#0
湖北经视,http://111.48.34.138/000000001000PLTV/88888888/224/3221230388/1.m3u8#rtsp://111.48.34.138:1554/170000004112/10000100000000050000000002444588#http://111.48.34.138/000000001000PLTV/88888888/224/3221229804/1.m3u8
湖北综合,http://111.48.34.138/000000001000PLTV/88888888/224/3221230439/1.m3u8#rtsp://111.48.34.138:1554/170000004112/10000100000000050000000002444593#http://111.48.34.138/000000001000PLTV/88888888/224/3221229806/1.m3u8
湖北垄上,http://111.48.34.138/000000001000PLTV/88888888/224/3221230390/1.m3u8#rtsp://111.48.34.138:1554/170000004112/10000100000000050000000002444600#http://111.48.34.138/000000001000PLTV/88888888/224/3221229833/1.m3u8
湖北公共新闻,http://111.48.34.138/000000001000PLTV/88888888/224/3221230441/1.m3u8#rtsp://111.48.34.138:1554/170000004112/10000100000000050000000002444582#http://111.48.34.138/000000001000PLTV/88888888/224/3221229800/1.m3u8
